2012-02-22 18:02:34 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:04:25 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:11:23 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:12:44 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:12:54 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:15:46 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:16:07 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:16:37 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:17:21 Debug: Notice (8): Undefined variable: funcao in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 267]
2012-02-22 18:17:21 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:20:20 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:21:22 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:21:22 Debug: Notice (8): Undefined index: produto_id in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 279]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 22]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 6]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 11]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 16]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 21]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 26]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 31]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 36]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 41]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 46]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 51]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 56]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 61]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 66]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 71]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 76]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 81]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 86]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 91]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 96]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 101]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 106]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 111]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 116]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 121]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 126]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 131]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 136]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 141]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 146]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 151]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 156]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 161]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 166]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 171]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 176]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 181]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 186]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 191]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 196]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 201]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 206]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 211]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 216]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 221]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 229]
2012-02-22 18:23:10 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\views\pfs\view.ctp, line 230]
2012-02-22 18:23:11 Debug: Notice (8): Undefined variable: pf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 22]
